param_name,param_value,n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
alpha,0.1,1,0.7219430485762143,1.0,0.564875491480996,0.0,0.0,0.0,0.0,0.0,0.0,0,147.04994368553162
alpha,0.1,2,0.7908082408874803,1.0,0.653997378768021,1.0,1.0,1.0,0.0,0.0,0.0,0,138.78513598442078
alpha,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.7917808219178082,1.0,0.655328798185941,0,138.44093871116638
alpha,0.3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,139.21391701698303
alpha,0.3,2,0.6972704714640199,0.6619552414605419,0.7365661861074705,0.4446165762974438,0.3380447585394582,0.6493212669683258,0.0,0.0,0.0,0,138.62855696678162
alpha,0.1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,147.46460247039795
alpha,0.1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.83023285865784
alpha,0.1,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,0.7660098522167488,1.0,0.6207584830339321,1,141.52540159225464
alpha,0.3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,139.22218656539917
alpha,0.3,2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,137.5522267818451
alpha,0.3,3,0.2355875831485588,0.1335218347470939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,137.3889274597168
alpha,0.5,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.5817289352417
alpha,0.5,2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,137.44221234321594
alpha,0.5,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,0.7119205298013246,0.6082036775106082,0.8582834331337326,1,136.9789707660675
alpha,0.75,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,138.07906341552734
alpha,0.75,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.97021484375
alpha,0.75,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,137.0755536556244
alpha,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.9256432056427
alpha,1.0,2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.71843910217285
alpha,1.0,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,0.4628632938643702,0.3168754605747974,0.8582834331337326,1,137.0793354511261
lambd,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,138.14653086662292
lambd,0.0,2,0.2180046165683508,0.1223373632700057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,136.88787031173706
lambd,0.0,3,0.0926354793886058,0.0576701268742791,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,1,136.96295976638794
lambd,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.36493515968323
lambd,0.25,2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.82112407684326
lambd,0.25,3,0.6843800322061192,0.5201958384332925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.92658805847168
lambd,0.5,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.45323538780212
lambd,0.5,2,0.6843800322061192,0.5201958384332925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.90993285179138
lambd,0.5,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,136.70480060577393
lambd,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.99831819534302
lambd,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.8087441921234
lambd,1.0,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,137.01171827316284
lambd,2.5,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.4724452495575
lambd,2.5,2,0.6843800322061192,0.5201958384332925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.91834568977356
lambd,2.5,3,0.2945252945252945,0.1726940268183665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,136.8183901309967
lambd,5.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,138.0958378314972
lambd,5.0,2,0.2180046165683508,0.1223373632700057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,136.8006637096405
lambd,5.0,3,0.0926354793886058,0.0576701268742791,0.2352941176470588,1.0,1.0,1.0,0.7378497790868924,0.5845974329054843,1.0,1,137.16703462600708
lambd,10.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,138.36918473243713
lambd,10.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,137.11808705329895
lambd,10.0,3,0.6843800322061192,0.5201958384332925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,137.14388394355774
alpha,0.1,1,0.7545551982851018,1.0,0.6058519793459552,0.0,0.0,0.0,0.0,0.0,0.0,10,151.87439632415771
alpha,0.1,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,0.7219430485762143,1.0,0.564875491480996,0.0,0.0,0.0,10,144.3901927471161
alpha,0.1,3,0.591016548463357,0.5450581395348837,0.6454388984509466,0.5738317757009346,1.0,0.4023591087811271,0.3305369127516778,0.2212240314430095,0.6533996683250415,10,141.46691370010376
alpha,0.3,1,0.412568306010929,1.0,0.2598967297762478,0.0,0.0,0.0,0.0,0.0,0.0,10,142.2175693511963
alpha,0.3,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,1.0,1.0,1.0,0.0,0.0,0.0,10,142.3356111049652
alpha,0.3,3,0.5548567435359888,0.4670588235294117,0.6833046471600689,0.7009646302250804,0.5396039603960396,1.0,0.7903711133400201,1.0,0.6533996683250415,10,140.7420642375946
alpha,0.5,1,0.3950276243093923,1.0,0.2461273666092943,0.0,0.0,0.0,0.0,0.0,0.0,10,142.1047706604004
alpha,0.5,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,1.0,1.0,1.0,0.0,0.0,0.0,10,141.5395050048828
alpha,0.5,3,0.629695885509839,0.4817518248175182,0.9087779690189328,0.6110812264658418,0.5182481751824818,0.744429882044561,0.794,1.0,0.6583747927031509,10,140.93048572540283
alpha,0.75,1,0.7731256085686465,0.8901345291479821,0.6833046471600689,0.0,0.0,0.0,0.0,0.0,0.0,10,142.32892298698425
alpha,0.75,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,1.0,1.0,1.0,0.0,0.0,0.0,10,142.22630071640015
alpha,0.75,3,0.5293233082706768,0.3734087694483734,0.9087779690189328,1.0,1.0,1.0,0.3112504900039201,0.2037987679671458,0.6583747927031509,10,141.13296747207642
alpha,1.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,143.39867973327637
alpha,1.0,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,1.0,1.0,1.0,0.0,0.0,0.0,10,141.90625643730164
alpha,1.0,3,0.5293233082706768,0.3734087694483734,0.9087779690189328,0.7009646302250804,0.5396039603960396,1.0,0.5167095115681234,0.3483535528596187,1.0,10,141.39855241775513
lambd,0.0,1,0.8118609406952966,1.0,0.6833046471600689,0.0,0.0,0.0,0.0,0.0,0.0,10,142.79834032058716
lambd,0.0,2,0.0419137999209173,0.0272073921971252,0.0912220309810671,0.0,0.0,0.0,0.0,0.0,0.0,10,142.79275512695312
lambd,0.0,3,0.5548567435359888,0.4670588235294117,0.6833046471600689,0.421574705517669,0.4,0.4456094364351245,0.0,0.0,0.0,10,141.39922642707825
lambd,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,143.23933720588684
